"ee.Taxon","Definition.x","Definition.y","N"
"human","central nervous system cancer","left occipital lobe",1
"human","central nervous system cancer","right occipital lobe",1
"human","central nervous system cancer","left temporal lobe",1
"human","central nervous system cancer","right temporal lobe",1
"human","central nervous system cancer","right frontal lobe",1
"human","central nervous system cancer","left frontal lobe",1
"human","central nervous system cancer","left cerebral hemisphere",1
"human","central nervous system cancer","right cerebral hemisphere",1
"human","central nervous system cancer","right hemisphere of cerebellum",1
"human","central nervous system cancer","gray matter of hindbrain",1
"human","nervous system disease","left parietal lobe",1
"human","nervous system disease","right parietal lobe",1
"human","nervous system disease","left occipital lobe",1
"human","nervous system disease","right occipital lobe",1
"human","nervous system disease","right temporal lobe",1
"human","nervous system disease","right frontal lobe",1
"human","nervous system disease","left frontal lobe",1
"human","nervous system disease","right cerebral hemisphere",1
"human","nervous system disease","right hemisphere of cerebellum",1
"human","brain disease","cerebellar cortex",1
"human","brain disease","cerebellar hemisphere",1
"human","brain disease","regional part of cerebellar cortex",1
"human","brain disease","left parietal lobe",1
"human","brain disease","right parietal lobe",1
"human","brain disease","left occipital lobe",1
"human","brain disease","right occipital lobe",1
"human","brain disease","left temporal lobe",1
"human","brain disease","right temporal lobe",1
"human","brain disease","right frontal lobe",1
"human","brain disease","left frontal lobe",1
"human","brain disease","left cerebral hemisphere",1
"human","brain disease","right cerebral hemisphere",1
"human","brain disease","right hemisphere of cerebellum",1
"human","brain disease","gray matter of hindbrain",1
"mouse","epilepsy","metencephalon",1
"mouse","epilepsy","hindbrain",1
"mouse","epilepsy","cerebellum",1
"mouse","epilepsy","segmental subdivision of hindbrain",1
"mouse","migraine","brain",1
"mouse","migraine","forebrain",1
"mouse","migraine","metencephalon",1
"mouse","migraine","hindbrain",1
"mouse","migraine","cerebellum",1
"mouse","migraine","regional part of brain",1
"mouse","migraine","segmental subdivision of hindbrain",1
"mouse","central nervous system disease","hypothalamus",1
"mouse","prion disease","hypothalamus",1
"mouse","nervous system disease","hypothalamus",1
"mouse","brain disease","hypothalamus",1
"human","Huntington's disease","primary motor cortex",1
"human","Huntington's disease","metencephalon",1
"human","Huntington's disease","hindbrain",1
"human","Huntington's disease","cerebellum",1
"human","Huntington's disease","segmental subdivision of hindbrain",1
"human","Huntington's disease","dorsolateral prefrontal cortex",1
"human","Huntington's disease","Brodmann area",1
"human","Huntington's disease","Brodmann (1909) area 4",1
"human","Huntington's disease","Brodmann (1909) area 9",1
"human","neurodegenerative disease","Brodmann (1909) area 4",1
"human","central nervous system disease","Brodmann (1909) area 4",1
"human","nervous system disease","Brodmann (1909) area 4",1
"rat","epilepsy","CNS neuron (sensu Vertebrata)",1
"rat","epilepsy","granule cell",1
"rat","epilepsy","neuron",1
"rat","epilepsy","pyramidal neuron",1
"rat","epilepsy","cortical granule cell",1
"rat","epilepsy","neural cell",1
"rat","epilepsy","hippocampal neuron",1
"rat","epilepsy","neuron of cerebral cortex",1
"rat","epilepsy","cerebral cortex neuron",1
"rat","epilepsy","neuron of the forebrain",1
"rat","epilepsy","hippocampal pyramidal neuron",1
"rat","epilepsy","central nervous system neuron",1
"rat","epilepsy","Meynert cell",1
"rat","epilepsy","dentate gyrus of hippocampal formation granule cell",1
"rat","epilepsy","layer of hippocampus",1
"rat","epilepsy","hippocampus pyramidal layer",1
"rat","central nervous system disease","pyramidal neuron",1
"rat","central nervous system disease","cortical granule cell",1
"rat","central nervous system disease","hippocampal neuron",1
"rat","central nervous system disease","neuron of cerebral cortex",1
"rat","central nervous system disease","cerebral cortex neuron",1
"rat","central nervous system disease","neuron of the forebrain",1
"rat","central nervous system disease","hippocampal pyramidal neuron",1
"rat","central nervous system disease","Meynert cell",1
"rat","central nervous system disease","dentate gyrus of hippocampal formation granule cell",1
"rat","central nervous system disease","layer of hippocampus",1
"rat","central nervous system disease","hippocampus pyramidal layer",1
"rat","nervous system disease","pyramidal neuron",1
"rat","nervous system disease","cortical granule cell",1
"rat","nervous system disease","hippocampal neuron",1
"rat","nervous system disease","neuron of cerebral cortex",1
"rat","nervous system disease","cerebral cortex neuron",1
"rat","nervous system disease","neuron of the forebrain",1
"rat","nervous system disease","hippocampal pyramidal neuron",1
"rat","nervous system disease","Meynert cell",1
"rat","nervous system disease","dentate gyrus of hippocampal formation granule cell",1
"rat","nervous system disease","layer of hippocampus",1
"rat","nervous system disease","hippocampus pyramidal layer",1
"rat","brain disease","CNS neuron (sensu Vertebrata)",1
"rat","brain disease","granule cell",1
"rat","brain disease","neuron",1
"rat","brain disease","pyramidal neuron",1
"rat","brain disease","cortical granule cell",1
"rat","brain disease","hippocampal neuron",1
"rat","brain disease","neuron of cerebral cortex",1
"rat","brain disease","cerebral cortex neuron",1
"rat","brain disease","neuron of the forebrain",1
"rat","brain disease","hippocampal pyramidal neuron",1
"rat","brain disease","central nervous system neuron",1
"rat","brain disease","Meynert cell",1
"rat","brain disease","dentate gyrus of hippocampal formation granule cell",1
"rat","brain disease","layer of hippocampus",1
"rat","brain disease","hippocampus pyramidal layer",1
"human","sensory system disease","pituitary gland",1
"human","sensory system disease","pallium",1
"human","sensory system disease","ventral part of telencephalon",1
"human","sensory system disease","limbic system",1
"human","sensory system disease","corpus striatum",1
"human","sensory system disease","cerebral subcortex",1
"human","sensory system disease","brain",1
"human","sensory system disease","cerebral cortex",1
"human","sensory system disease","cerebral hemisphere",1
"human","sensory system disease","temporal lobe",1
"human","sensory system disease","caudate nucleus",1
"human","sensory system disease","amygdala",1
"human","sensory system disease","forebrain",1
"human","sensory system disease","telencephalon",1
"human","sensory system disease","diencephalon",1
"human","sensory system disease","metencephalon",1
"human","sensory system disease","dorsal plus ventral thalamus",1
"human","sensory system disease","hindbrain",1
"human","sensory system disease","cerebellum",1
"human","sensory system disease","nucleus of brain",1
"human","sensory system disease","corpus callosum",1
"human","sensory system disease","basal ganglion",1
"human","sensory system disease","striatum",1
"human","sensory system disease","cerebral hemisphere white matter",1
"human","sensory system disease","intercerebral commissure",1
"human","sensory system disease","regional part of brain",1
"human","sensory system disease","basal forebrain",1
"human","sensory system disease","gland of diencephalon",1
"human","sensory system disease","brain gray matter",1
"human","sensory system disease","brain white matter",1
"human","sensory system disease","segmental subdivision of hindbrain",1
"human","sensory system disease","dorsal telencephalic commissure",1
"human","sensory system disease","dorsal striatum",1
"human","sensory system disease","caudate-putamen",1
"human","sensory system disease","cerebral hemisphere gray matter",1
"human","sensory system disease","brain commissure",1
"human","sensory system disease","basal nuclear complex",1
"human","sensory system disease","tract of brain",1
"human","sensory system disease","telencephalic nucleus",1
"human","sensory system disease","aggregate regional part of brain",1
"human","sensory system disease","collection of basal ganglia",1
"human","sensory system disease","thalamic complex",1
"human","sensory system disease","white matter of telencephalon",1
"human","sensory system disease","gray matter of telencephalon",1
"human","sensory system disease","lobe of cerebral hemisphere",1
"human","sensory system disease","white matter of forebrain",1
"human","sensory system disease","gray matter of forebrain",1
"human","sensory system disease","gray matter of diencephalon",1
"human","sensory system disease","commissure of telencephalon",1
"human","eye and adnexa disease","pituitary gland",1
"human","eye and adnexa disease","pallium",1
"human","eye and adnexa disease","ventral part of telencephalon",1
"human","eye and adnexa disease","limbic system",1
"human","eye and adnexa disease","corpus striatum",1
"human","eye and adnexa disease","cerebral subcortex",1
"human","eye and adnexa disease","brain",1
"human","eye and adnexa disease","cerebral cortex",1
"human","eye and adnexa disease","cerebral hemisphere",1
"human","eye and adnexa disease","temporal lobe",1
"human","eye and adnexa disease","caudate nucleus",1
"human","eye and adnexa disease","amygdala",1
"human","eye and adnexa disease","forebrain",1
"human","eye and adnexa disease","telencephalon",1
"human","eye and adnexa disease","diencephalon",1
"human","eye and adnexa disease","metencephalon",1
"human","eye and adnexa disease","dorsal plus ventral thalamus",1
"human","eye and adnexa disease","hindbrain",1
"human","eye and adnexa disease","cerebellum",1
"human","eye and adnexa disease","nucleus of brain",1
"human","eye and adnexa disease","corpus callosum",1
"human","eye and adnexa disease","basal ganglion",1
"human","eye and adnexa disease","striatum",1
"human","eye and adnexa disease","cerebral hemisphere white matter",1
"human","eye and adnexa disease","intercerebral commissure",1
"human","eye and adnexa disease","regional part of brain",1
"human","eye and adnexa disease","basal forebrain",1
"human","eye and adnexa disease","gland of diencephalon",1
"human","eye and adnexa disease","brain gray matter",1
"human","eye and adnexa disease","brain white matter",1
"human","eye and adnexa disease","segmental subdivision of hindbrain",1
"human","eye and adnexa disease","dorsal telencephalic commissure",1
"human","eye and adnexa disease","dorsal striatum",1
"human","eye and adnexa disease","caudate-putamen",1
"human","eye and adnexa disease","cerebral hemisphere gray matter",1
"human","eye and adnexa disease","brain commissure",1
"human","eye and adnexa disease","basal nuclear complex",1
"human","eye and adnexa disease","tract of brain",1
"human","eye and adnexa disease","telencephalic nucleus",1
"human","eye and adnexa disease","aggregate regional part of brain",1
"human","eye and adnexa disease","collection of basal ganglia",1
"human","eye and adnexa disease","thalamic complex",1
"human","eye and adnexa disease","white matter of telencephalon",1
"human","eye and adnexa disease","gray matter of telencephalon",1
"human","eye and adnexa disease","lobe of cerebral hemisphere",1
"human","eye and adnexa disease","white matter of forebrain",1
"human","eye and adnexa disease","gray matter of forebrain",1
"human","eye and adnexa disease","gray matter of diencephalon",1
"human","eye and adnexa disease","commissure of telencephalon",1
"human","ocular cancer","pituitary gland",1
"human","ocular cancer","pallium",1
"human","ocular cancer","ventral part of telencephalon",1
"human","ocular cancer","limbic system",1
"human","ocular cancer","corpus striatum",1
"human","ocular cancer","cerebral subcortex",1
"human","ocular cancer","brain",1
"human","ocular cancer","cerebral cortex",1
"human","ocular cancer","cerebral hemisphere",1
"human","ocular cancer","temporal lobe",1
"human","ocular cancer","caudate nucleus",1
"human","ocular cancer","amygdala",1
"human","ocular cancer","forebrain",1
"human","ocular cancer","telencephalon",1
"human","ocular cancer","diencephalon",1
"human","ocular cancer","metencephalon",1
"human","ocular cancer","dorsal plus ventral thalamus",1
"human","ocular cancer","hindbrain",1
"human","ocular cancer","cerebellum",1
"human","ocular cancer","nucleus of brain",1
"human","ocular cancer","corpus callosum",1
"human","ocular cancer","basal ganglion",1
"human","ocular cancer","striatum",1
"human","ocular cancer","cerebral hemisphere white matter",1
"human","ocular cancer","intercerebral commissure",1
"human","ocular cancer","regional part of brain",1
"human","ocular cancer","basal forebrain",1
"human","ocular cancer","gland of diencephalon",1
"human","ocular cancer","brain gray matter",1
"human","ocular cancer","brain white matter",1
"human","ocular cancer","segmental subdivision of hindbrain",1
"human","ocular cancer","dorsal telencephalic commissure",1
"human","ocular cancer","dorsal striatum",1
"human","ocular cancer","caudate-putamen",1
"human","ocular cancer","cerebral hemisphere gray matter",1
"human","ocular cancer","brain commissure",1
"human","ocular cancer","basal nuclear complex",1
"human","ocular cancer","tract of brain",1
"human","ocular cancer","telencephalic nucleus",1
"human","ocular cancer","aggregate regional part of brain",1
"human","ocular cancer","collection of basal ganglia",1
"human","ocular cancer","thalamic complex",1
"human","ocular cancer","white matter of telencephalon",1
"human","ocular cancer","gray matter of telencephalon",1
"human","ocular cancer","lobe of cerebral hemisphere",1
"human","ocular cancer","white matter of forebrain",1
"human","ocular cancer","gray matter of forebrain",1
"human","ocular cancer","gray matter of diencephalon",1
"human","ocular cancer","commissure of telencephalon",1
"human","retinal cancer","pituitary gland",1
"human","retinal cancer","pallium",1
"human","retinal cancer","ventral part of telencephalon",1
"human","retinal cancer","limbic system",1
"human","retinal cancer","corpus striatum",1
"human","retinal cancer","cerebral subcortex",1
"human","retinal cancer","brain",1
"human","retinal cancer","cerebral cortex",1
"human","retinal cancer","cerebral hemisphere",1
"human","retinal cancer","temporal lobe",1
"human","retinal cancer","caudate nucleus",1
"human","retinal cancer","amygdala",1
"human","retinal cancer","forebrain",1
"human","retinal cancer","telencephalon",1
"human","retinal cancer","diencephalon",1
"human","retinal cancer","metencephalon",1
"human","retinal cancer","dorsal plus ventral thalamus",1
"human","retinal cancer","hindbrain",1
"human","retinal cancer","cerebellum",1
"human","retinal cancer","nucleus of brain",1
"human","retinal cancer","corpus callosum",1
"human","retinal cancer","basal ganglion",1
"human","retinal cancer","striatum",1
"human","retinal cancer","cerebral hemisphere white matter",1
"human","retinal cancer","intercerebral commissure",1
"human","retinal cancer","regional part of brain",1
"human","retinal cancer","basal forebrain",1
"human","retinal cancer","gland of diencephalon",1
"human","retinal cancer","brain gray matter",1
"human","retinal cancer","brain white matter",1
"human","retinal cancer","segmental subdivision of hindbrain",1
"human","retinal cancer","dorsal telencephalic commissure",1
"human","retinal cancer","dorsal striatum",1
"human","retinal cancer","caudate-putamen",1
"human","retinal cancer","cerebral hemisphere gray matter",1
"human","retinal cancer","brain commissure",1
"human","retinal cancer","basal nuclear complex",1
"human","retinal cancer","tract of brain",1
"human","retinal cancer","telencephalic nucleus",1
"human","retinal cancer","aggregate regional part of brain",1
"human","retinal cancer","collection of basal ganglia",1
"human","retinal cancer","thalamic complex",1
"human","retinal cancer","white matter of telencephalon",1
"human","retinal cancer","gray matter of telencephalon",1
"human","retinal cancer","lobe of cerebral hemisphere",1
"human","retinal cancer","white matter of forebrain",1
"human","retinal cancer","gray matter of forebrain",1
"human","retinal cancer","gray matter of diencephalon",1
"human","retinal cancer","commissure of telencephalon",1
"human","eye disease","pituitary gland",1
"human","eye disease","pallium",1
"human","eye disease","ventral part of telencephalon",1
"human","eye disease","limbic system",1
"human","eye disease","corpus striatum",1
"human","eye disease","cerebral subcortex",1
"human","eye disease","brain",1
"human","eye disease","cerebral cortex",1
"human","eye disease","cerebral hemisphere",1
"human","eye disease","temporal lobe",1
"human","eye disease","caudate nucleus",1
"human","eye disease","amygdala",1
"human","eye disease","forebrain",1
"human","eye disease","telencephalon",1
"human","eye disease","diencephalon",1
"human","eye disease","metencephalon",1
"human","eye disease","dorsal plus ventral thalamus",1
"human","eye disease","hindbrain",1
"human","eye disease","cerebellum",1
"human","eye disease","nucleus of brain",1
"human","eye disease","corpus callosum",1
"human","eye disease","basal ganglion",1
"human","eye disease","striatum",1
"human","eye disease","cerebral hemisphere white matter",1
"human","eye disease","intercerebral commissure",1
"human","eye disease","regional part of brain",1
"human","eye disease","basal forebrain",1
"human","eye disease","gland of diencephalon",1
"human","eye disease","brain gray matter",1
"human","eye disease","brain white matter",1
"human","eye disease","segmental subdivision of hindbrain",1
"human","eye disease","dorsal telencephalic commissure",1
"human","eye disease","dorsal striatum",1
"human","eye disease","caudate-putamen",1
"human","eye disease","cerebral hemisphere gray matter",1
"human","eye disease","brain commissure",1
"human","eye disease","basal nuclear complex",1
"human","eye disease","tract of brain",1
"human","eye disease","telencephalic nucleus",1
"human","eye disease","aggregate regional part of brain",1
"human","eye disease","collection of basal ganglia",1
"human","eye disease","thalamic complex",1
"human","eye disease","white matter of telencephalon",1
"human","eye disease","gray matter of telencephalon",1
"human","eye disease","lobe of cerebral hemisphere",1
"human","eye disease","white matter of forebrain",1
"human","eye disease","gray matter of forebrain",1
"human","eye disease","gray matter of diencephalon",1
"human","eye disease","commissure of telencephalon",1
"human","retinal disease","pituitary gland",1
"human","retinal disease","pallium",1
"human","retinal disease","ventral part of telencephalon",1
"human","retinal disease","limbic system",1
"human","retinal disease","corpus striatum",1
"human","retinal disease","cerebral subcortex",1
"human","retinal disease","brain",1
"human","retinal disease","cerebral cortex",1
"human","retinal disease","cerebral hemisphere",1
"human","retinal disease","temporal lobe",1
"human","retinal disease","caudate nucleus",1
"human","retinal disease","amygdala",1
"human","retinal disease","forebrain",1
"human","retinal disease","telencephalon",1
"human","retinal disease","diencephalon",1
"human","retinal disease","metencephalon",1
"human","retinal disease","dorsal plus ventral thalamus",1
"human","retinal disease","hindbrain",1
"human","retinal disease","cerebellum",1
"human","retinal disease","nucleus of brain",1
"human","retinal disease","corpus callosum",1
"human","retinal disease","basal ganglion",1
"human","retinal disease","striatum",1
"human","retinal disease","cerebral hemisphere white matter",1
"human","retinal disease","intercerebral commissure",1
"human","retinal disease","regional part of brain",1
"human","retinal disease","basal forebrain",1
"human","retinal disease","gland of diencephalon",1
"human","retinal disease","brain gray matter",1
"human","retinal disease","brain white matter",1
"human","retinal disease","segmental subdivision of hindbrain",1
"human","retinal disease","dorsal telencephalic commissure",1
"human","retinal disease","dorsal striatum",1
"human","retinal disease","caudate-putamen",1
"human","retinal disease","cerebral hemisphere gray matter",1
"human","retinal disease","brain commissure",1
"human","retinal disease","basal nuclear complex",1
"human","retinal disease","tract of brain",1
"human","retinal disease","telencephalic nucleus",1
"human","retinal disease","aggregate regional part of brain",1
"human","retinal disease","collection of basal ganglia",1
"human","retinal disease","thalamic complex",1
"human","retinal disease","white matter of telencephalon",1
"human","retinal disease","gray matter of telencephalon",1
"human","retinal disease","lobe of cerebral hemisphere",1
"human","retinal disease","white matter of forebrain",1
"human","retinal disease","gray matter of forebrain",1
"human","retinal disease","gray matter of diencephalon",1
"human","retinal disease","commissure of telencephalon",1
"human","retinoblastoma","pituitary gland",1
"human","retinoblastoma","pallium",1
"human","retinoblastoma","ventral part of telencephalon",1
"human","retinoblastoma","limbic system",1
"human","retinoblastoma","corpus striatum",1
"human","retinoblastoma","cerebral subcortex",1
"human","retinoblastoma","brain",1
"human","retinoblastoma","cerebral cortex",1
"human","retinoblastoma","cerebral hemisphere",1
"human","retinoblastoma","temporal lobe",1
"human","retinoblastoma","caudate nucleus",1
"human","retinoblastoma","amygdala",1
"human","retinoblastoma","forebrain",1
"human","retinoblastoma","telencephalon",1
"human","retinoblastoma","diencephalon",1
"human","retinoblastoma","metencephalon",1
"human","retinoblastoma","dorsal plus ventral thalamus",1
"human","retinoblastoma","hindbrain",1
"human","retinoblastoma","cerebellum",1
"human","retinoblastoma","nucleus of brain",1
"human","retinoblastoma","corpus callosum",1
"human","retinoblastoma","basal ganglion",1
"human","retinoblastoma","striatum",1
"human","retinoblastoma","cerebral hemisphere white matter",1
"human","retinoblastoma","intercerebral commissure",1
"human","retinoblastoma","regional part of brain",1
"human","retinoblastoma","basal forebrain",1
"human","retinoblastoma","gland of diencephalon",1
"human","retinoblastoma","brain gray matter",1
"human","retinoblastoma","brain white matter",1
"human","retinoblastoma","segmental subdivision of hindbrain",1
"human","retinoblastoma","dorsal telencephalic commissure",1
"human","retinoblastoma","dorsal striatum",1
"human","retinoblastoma","caudate-putamen",1
"human","retinoblastoma","cerebral hemisphere gray matter",1
"human","retinoblastoma","brain commissure",1
"human","retinoblastoma","basal nuclear complex",1
"human","retinoblastoma","tract of brain",1
"human","retinoblastoma","telencephalic nucleus",1
"human","retinoblastoma","aggregate regional part of brain",1
"human","retinoblastoma","collection of basal ganglia",1
"human","retinoblastoma","thalamic complex",1
"human","retinoblastoma","white matter of telencephalon",1
"human","retinoblastoma","gray matter of telencephalon",1
"human","retinoblastoma","lobe of cerebral hemisphere",1
"human","retinoblastoma","white matter of forebrain",1
"human","retinoblastoma","gray matter of forebrain",1
"human","retinoblastoma","gray matter of diencephalon",1
"human","retinoblastoma","commissure of telencephalon",1
"human","retinal cell cancer","pituitary gland",1
"human","retinal cell cancer","pallium",1
"human","retinal cell cancer","ventral part of telencephalon",1
"human","retinal cell cancer","limbic system",1
"human","retinal cell cancer","corpus striatum",1
"human","retinal cell cancer","cerebral subcortex",1
"human","retinal cell cancer","brain",1
"human","retinal cell cancer","cerebral cortex",1
"human","retinal cell cancer","cerebral hemisphere",1
"human","retinal cell cancer","temporal lobe",1
"human","retinal cell cancer","caudate nucleus",1
"human","retinal cell cancer","amygdala",1
"human","retinal cell cancer","forebrain",1
"human","retinal cell cancer","telencephalon",1
"human","retinal cell cancer","diencephalon",1
"human","retinal cell cancer","metencephalon",1
"human","retinal cell cancer","dorsal plus ventral thalamus",1
"human","retinal cell cancer","hindbrain",1
"human","retinal cell cancer","cerebellum",1
"human","retinal cell cancer","nucleus of brain",1
"human","retinal cell cancer","corpus callosum",1
"human","retinal cell cancer","basal ganglion",1
"human","retinal cell cancer","striatum",1
"human","retinal cell cancer","cerebral hemisphere white matter",1
"human","retinal cell cancer","intercerebral commissure",1
"human","retinal cell cancer","regional part of brain",1
"human","retinal cell cancer","basal forebrain",1
"human","retinal cell cancer","gland of diencephalon",1
"human","retinal cell cancer","brain gray matter",1
"human","retinal cell cancer","brain white matter",1
"human","retinal cell cancer","segmental subdivision of hindbrain",1
"human","retinal cell cancer","dorsal telencephalic commissure",1
"human","retinal cell cancer","dorsal striatum",1
"human","retinal cell cancer","caudate-putamen",1
"human","retinal cell cancer","cerebral hemisphere gray matter",1
"human","retinal cell cancer","brain commissure",1
"human","retinal cell cancer","basal nuclear complex",1
"human","retinal cell cancer","tract of brain",1
"human","retinal cell cancer","telencephalic nucleus",1
"human","retinal cell cancer","aggregate regional part of brain",1
"human","retinal cell cancer","collection of basal ganglia",1
"human","retinal cell cancer","thalamic complex",1
"human","retinal cell cancer","white matter of telencephalon",1
"human","retinal cell cancer","gray matter of telencephalon",1
"human","retinal cell cancer","lobe of cerebral hemisphere",1
"human","retinal cell cancer","white matter of forebrain",1
"human","retinal cell cancer","gray matter of forebrain",1
"human","retinal cell cancer","gray matter of diencephalon",1
"human","retinal cell cancer","commissure of telencephalon",1
"rat","epilepsy","frontal cortex",1
"rat","epilepsy","brainstem",1
"rat","epilepsy","frontal lobe",1
"rat","central nervous system disease","frontal cortex",1
"rat","central nervous system disease","frontal lobe",1
"rat","nervous system disease","frontal cortex",1
"rat","nervous system disease","frontal lobe",1
"rat","brain disease","frontal cortex",1
"rat","brain disease","brainstem",1
"rat","brain disease","frontal lobe",1
"human","meningioma","brain",1
"human","benign meningioma","brain",1
"human","peripheral nervous system benign neoplasm","brain",1
"human","autonomic nervous system benign neoplasm","brain",1
"human","ganglioneuroma","brain",1
"mouse","Huntington's disease","caudate nucleus",1
"mouse","Huntington's disease","nucleus of brain",1
"mouse","Huntington's disease","dorsal striatum",1
"mouse","Huntington's disease","caudate-putamen",1
"mouse","Huntington's disease","telencephalic nucleus",1
"mouse","neurodegenerative disease","caudate nucleus",1
"mouse","neurodegenerative disease","telencephalic nucleus",1
"mouse","central nervous system disease","caudate nucleus",1
"mouse","central nervous system disease","telencephalic nucleus",1
"mouse","nervous system disease","caudate nucleus",1
"mouse","nervous system disease","telencephalic nucleus",1
"mouse","scrapie","pallium",1
"mouse","scrapie","limbic system",1
"mouse","scrapie","brain",1
"mouse","scrapie","cerebral cortex",1
"mouse","scrapie","cerebral hemisphere",1
"mouse","scrapie","forebrain",1
"mouse","scrapie","telencephalon",1
"mouse","scrapie","Ammon's horn",1
"mouse","scrapie","hippocampal formation",1
"mouse","scrapie","limbic lobe",1
"mouse","scrapie","regional part of brain",1
"mouse","scrapie","brain gray matter",1
"mouse","scrapie","cerebral hemisphere gray matter",1
"mouse","scrapie","gray matter of telencephalon",1
"mouse","scrapie","lobe of cerebral hemisphere",1
"mouse","scrapie","gray matter of forebrain",1
"human","synucleinopathy","pituitary gland",1
"human","synucleinopathy","parietal lobe",1
"human","synucleinopathy","amygdala",1
"human","synucleinopathy","nucleus accumbens",1
"human","synucleinopathy","diencephalon",1
"human","synucleinopathy","dorsal plus ventral thalamus",1
"human","synucleinopathy","hypothalamus",1
"human","synucleinopathy","ventral thalamus",1
"human","synucleinopathy","subthalamic nucleus",1
"human","synucleinopathy","midbrain tegmentum",1
"human","synucleinopathy","occipital lobe",1
"human","synucleinopathy","cerebellar cortex",1
"human","synucleinopathy","cerebellar hemisphere",1
"human","synucleinopathy","corpus callosum",1
"human","synucleinopathy","hippocampal formation",1
"human","synucleinopathy","cerebral hemisphere white matter",1
"human","synucleinopathy","intercerebral commissure",1
"human","synucleinopathy","lateral globus pallidus",1
"human","synucleinopathy","vestibular nuclear complex",1
"human","synucleinopathy","ventral tegmental area",1
"human","synucleinopathy","lateral nuclear group of thalamus",1
"human","synucleinopathy","regional part of cerebellar cortex",1
"human","synucleinopathy","ventral nuclear group",1
"human","synucleinopathy","gland of diencephalon",1
"human","synucleinopathy","brain white matter",1
"human","synucleinopathy","dorsal thalamus",1
"human","synucleinopathy","cerebellar vermis",1
"human","synucleinopathy","dorsal telencephalic commissure",1
"human","synucleinopathy","ventral striatum",1
"human","synucleinopathy","brain commissure",1
"human","synucleinopathy","diencephalic nucleus",1
"human","synucleinopathy","superior vestibular nucleus",1
"human","synucleinopathy","vestibular nucleus",1
"human","synucleinopathy","nucleus of thalamus",1
"human","synucleinopathy","tract of brain",1
"human","synucleinopathy","thalamic complex",1
"human","synucleinopathy","white matter of telencephalon",1
"human","synucleinopathy","nucleus of dorsal thalamus",1
"human","synucleinopathy","nucleus of ventral thalamus",1
"human","synucleinopathy","white matter of forebrain",1
"human","synucleinopathy","gray matter of diencephalon",1
"human","synucleinopathy","commissure of telencephalon",1
"human","neurodegenerative disease","pituitary gland",1
"human","neurodegenerative disease","amygdala",1
"human","neurodegenerative disease","nucleus accumbens",1
"human","neurodegenerative disease","dorsal plus ventral thalamus",1
"human","neurodegenerative disease","hypothalamus",1
"human","neurodegenerative disease","ventral thalamus",1
"human","neurodegenerative disease","subthalamic nucleus",1
"human","neurodegenerative disease","occipital lobe",1
"human","neurodegenerative disease","cerebellar hemisphere",1
"human","neurodegenerative disease","corpus callosum",1
"human","neurodegenerative disease","cerebral hemisphere white matter",1
"human","neurodegenerative disease","intercerebral commissure",1
"human","neurodegenerative disease","lateral globus pallidus",1
"human","neurodegenerative disease","vestibular nuclear complex",1
"human","neurodegenerative disease","ventral tegmental area",1
"human","neurodegenerative disease","lateral nuclear group of thalamus",1
"human","neurodegenerative disease","regional part of cerebellar cortex",1
"human","neurodegenerative disease","ventral nuclear group",1
"human","neurodegenerative disease","gland of diencephalon",1
"human","neurodegenerative disease","brain white matter",1
"human","neurodegenerative disease","dorsal thalamus",1
"human","neurodegenerative disease","cerebellar vermis",1
"human","neurodegenerative disease","dorsal telencephalic commissure",1
"human","neurodegenerative disease","ventral striatum",1
"human","neurodegenerative disease","brain commissure",1
"human","neurodegenerative disease","diencephalic nucleus",1
"human","neurodegenerative disease","superior vestibular nucleus",1
"human","neurodegenerative disease","vestibular nucleus",1
"human","neurodegenerative disease","nucleus of thalamus",1
"human","neurodegenerative disease","tract of brain",1
"human","neurodegenerative disease","thalamic complex",1
"human","neurodegenerative disease","white matter of telencephalon",1
"human","neurodegenerative disease","nucleus of dorsal thalamus",1
"human","neurodegenerative disease","nucleus of ventral thalamus",1
"human","neurodegenerative disease","white matter of forebrain",1
"human","neurodegenerative disease","gray matter of diencephalon",1
"human","neurodegenerative disease","commissure of telencephalon",1
"human","Parkinson's disease","pituitary gland",1
"human","Parkinson's disease","parietal lobe",1
"human","Parkinson's disease","amygdala",1
"human","Parkinson's disease","nucleus accumbens",1
"human","Parkinson's disease","diencephalon",1
"human","Parkinson's disease","dorsal plus ventral thalamus",1
"human","Parkinson's disease","hypothalamus",1
"human","Parkinson's disease","ventral thalamus",1
"human","Parkinson's disease","subthalamic nucleus",1
"human","Parkinson's disease","midbrain tegmentum",1
"human","Parkinson's disease","occipital lobe",1
"human","Parkinson's disease","cerebellar cortex",1
"human","Parkinson's disease","cerebellar hemisphere",1
"human","Parkinson's disease","corpus callosum",1
"human","Parkinson's disease","hippocampal formation",1
"human","Parkinson's disease","cerebral hemisphere white matter",1
"human","Parkinson's disease","intercerebral commissure",1
"human","Parkinson's disease","lateral globus pallidus",1
"human","Parkinson's disease","vestibular nuclear complex",1
"human","Parkinson's disease","ventral tegmental area",1
"human","Parkinson's disease","lateral nuclear group of thalamus",1
"human","Parkinson's disease","regional part of cerebellar cortex",1
"human","Parkinson's disease","ventral nuclear group",1
"human","Parkinson's disease","gland of diencephalon",1
"human","Parkinson's disease","brain white matter",1
"human","Parkinson's disease","dorsal thalamus",1
"human","Parkinson's disease","cerebellar vermis",1
